,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty],,6.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,870000.0,,,,,,,,,,,,
,,,,,# [Potencializar],,3.0,,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Large,,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,151.25,,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,,
,,,,% MQL → WON,,,0.0796460177,,,,,,,,,,,,
,,,,# WONs,,,45.0,,,,,,,,,,,,
,,,,$ Average Ticket ,,,36800.0,,,,,,,,,,,,
,,,,# Revenue Won,,,1656000.0,,,,,,,,,,,,
,,,,,% [Saber],,0.6,,,,,,,,,,,,
,,,,,% [Ter],,0.1,,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.2,,,,,,,,,,,,
,,,,,% [Potencializar],,0.1,,,,,,,,,,,,
,,,,,$ [Saber] Average Ticket ,,25000.0,,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,18000.0,,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,99000.0,,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,2.0,,,,,,,,,,,,
,,,,,# [Saber],,27.0,,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,675000.0,,,,,,,,,,,,
,,,,,# [Ter],,5.0,,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,90000.0,,,,,,,,,,,,
,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty],,9.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,891000.0,,,,,,,,,,,,
,,,,,# [Potencializar],,4.0,,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Medium,,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,721.25,,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,,
,,,,% MQL → WON,,,0.09655789003,,,,,,,,,,,,
,,,,# WONs,,,216.0,,,,,,,,,,,,
,,,,$ Average Ticket ,,,28060.18519,,,,,,,,,,,,
,,,,# Revenue Won,,,6061000.0,,,,,,,,,,,,
,,,,,% [Saber],,0.6,,,,,,,,,,,,
,,,,,% [Ter],,0.1,,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.3,,,,,,,,,,,,
,,,,,% [Potencializar],,0.0,,,,,,,,,,,,
,,,,,$ [Saber] Average Ticket ,,20000.0,,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,15000.0,,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,49000.0,,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,2.0,,,,,,,,,,,,
,,,,,# [Saber],,129.0,,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,2580000.0,,,,,,,,,,,,
,,,,,# [Ter],,23.0,,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,345000.0,,,,,,,,,,,,
,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty],,64.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,3136000.0,,,,,,,,,,,,
,,,,,# [Potencializar],,0.0,,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Small,,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,1696.25,,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,,
,,,,% MQL → WON,,,0.09669452888,,,,,,,,,,,,
,,,,# WONs,,,509.0,,,,,,,,,,,,
,,,,$ Average Ticket ,,,18296.66012,,,,,,,,,,,,
,,,,# Revenue Won,,,9313000.0,,,,,,,,,,,,
,,,,,% [Saber],,0.8,,,,,,,,,,,,
,,,,,% [Ter],,0.2,,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.0,,,,,,,,,,,,
,,,,,% [Potencializar],,0.0,,,,,,,,,,,,
,,,,,$ [Saber] Average Ticket ,,20000.0,,,,,,,,,,,,
,,,,,$ [Ter]  Average Ticket ,,11500.0,,,,,,,,,,,,
,,,,,$ [Executar-no loyalty] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,$ [Executar-loyalty] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,$ [Potencializar] Average Ticket ,,0.0,,,,,,,,,,,,
,,,,,# Lowest Ticket Index,,2.0,,,,,,,,,,,,
,,,,,# [Saber],,407.0,,,,,,,,,,,,
,,,,,# [Saber] Revenue Won,,8140000.0,,,,,,,,,,,,
,,,,,# [Ter],,102.0,,,,,,,,,,,,
,,,,,# [Ter] Revenue Won,,1173000.0,,,,,,,,,,,,
,,,,,# [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,# [Executar-no loyalty] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty],,0.0,,,,,,,,,,,,
,,,,,# [Executar-loyalty] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,# [Potencializar],,0.0,,,,,,,,,,,,
,,,,,# [Potencializar] Revenue Won,,0.0,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,Tiny,,,,,,,,,,,,,,,,
,,VM4,,# SALs,,,800.0,,,,,,,,,,,,
,,CR4,,% SAL → WON,,,0.3,,,,,,,,,,,,
,,,,% MQL → WON,,,0.09661835749,,,,,,,,,,,,
,,,,# WONs,,,240.0,,,,,,,,,,,,
,,,,$ Average Ticket ,,,13500.0,,,,,,,,,,,,
,,,,# Revenue Won,,,3240000.0,,,,,,,,,,,,
,,,,,% [Saber],,0.8,,,,,,,,,,,,
,,,,,% [Ter],,0.2,,,,,,,,,,,,
,,,,,% [Executar-no loyalty],,0.0,,,,,,,,,,,,
,,,,,% [Executar-loyalty],,0.0,,,,,,,,,,,,
,,,,,% [Potencializar],,0.0,,,,,,,,,,,,
